star,mv,bvcolor,observation_id
1326,10.3078830676146,1.56,j130.2113
1326,10.3078830676146,1.56,j128.510
1326,10.3078830676146,1.56,j899.134
1326,10.3078830676146,1.56,j194.155
1326,10.3078830676146,1.56,j19.1030
1326,10.3078830676146,1.56,j157.527
1326,10.3078830676146,1.56,j134.414
1326,10.3078830676146,1.56,j129.106
1326,10.3078830676146,1.56,j856.173
1326,10.3078830676146,1.56,j122.304
1326,10.3078830676146,1.56,j128.318
1326,10.3078830676146,1.56,j137.429
1326,10.3078830676146,1.56,j130.1526
1326,10.3078830676146,1.56,j140.74
1326,10.3078830676146,1.56,j135.107
1326,10.3078830676146,1.56,j44.264
1326,10.3078830676146,1.56,j122.305
1326,10.3078830676146,1.56,j803.186
1326,10.3078830676146,1.56,j138.337
1326,10.3078830676146,1.56,j347.101
1326,10.3078830676146,1.56,j122.784
1326,10.3078830676146,1.56,j19.1029
1326,10.3078830676146,1.56,j08.898
1326,10.3078830676146,1.56,j120.376
1326,10.3078830676146,1.56,j130.1895
1326,10.3078830676146,1.56,j131.93
1326,10.3078830676146,1.56,j127.99
1326,10.3078830676146,1.56,j110.500
1326,10.3078830676146,1.56,j893.174
1326,10.3078830676146,1.56,j133.601
1326,10.3078830676146,1.56,j893.173
1326,10.3078830676146,1.56,j128.317
1326,10.3078830676146,1.56,j132.127
1326,10.3078830676146,1.56,j181.135
1326,10.3078830676146,1.56,j104.119
1326,10.3078830676146,1.56,j836.120
1326,10.3078830676146,1.56,j833.200
1326,10.3078830676146,1.56,j130.1330
1326,10.3078830676146,1.56,j63.732
1326,10.3078830676146,1.56,j122.102
1326,10.3078830676146,1.56,j115.578
1326,10.3078830676146,1.56,j14.77
1326,10.3078830676146,1.56,j129.336
1326,10.3078830676146,1.56,j183.413
1326,10.3078830676146,1.56,j153.527
1326,10.3078830676146,1.56,j130.692
1326,10.3078830676146,1.56,j137.224
1326,10.3078830676146,1.56,j08.1646
1326,10.3078830676146,1.56,j807.156
1326,10.3078830676146,1.56,j305.90
1326,10.3078830676146,1.56,j123.93
1326,10.3078830676146,1.56,j130.1896
1326,10.3078830676146,1.56,j131.344
1326,10.3078830676146,1.56,j853.222
1326,10.3078830676146,1.56,j138.813
1326,10.3078830676146,1.56,j341.481
1326,10.3078830676146,1.56,j08.267
1326,10.3078830676146,1.56,j120.752
1326,10.3078830676146,1.56,j97.2430
1326,10.3078830676146,1.56,j159.715
1326,10.3078830676146,1.56,j01.437
1326,10.3078830676146,1.56,j124.516
1326,10.3078830676146,1.56,j183.415
1326,10.3078830676146,1.56,j61.404
1326,10.3078830676146,1.56,j810.132
1326,10.3078830676146,1.56,j130.2527
1326,10.3078830676146,1.56,j835.150
1326,10.3078830676146,1.56,j133.390
1326,10.3078830676146,1.56,j137.427
1326,10.3078830676146,1.56,j97.1901
1326,10.3078830676146,1.56,j821.167
1326,10.3078830676146,1.56,j130.1528
1326,10.3078830676146,1.56,j213.126
1326,10.3078830676146,1.56,j58.476
1326,10.3078830676146,1.56,j56.2177
1326,10.3078830676146,1.56,j130.912
1326,10.3078830676146,1.56,j220.112
1326,10.3078830676146,1.56,j859.145
1326,10.3078830676146,1.56,j141.105
1326,10.3078830676146,1.56,j827.206
1326,10.3078830676146,1.56,j131.516
1326,10.3078830676146,1.56,j134.413
1326,10.3078830676146,1.56,j829.139
1326,10.3078830676146,1.56,j138.812
1326,10.3078830676146,1.56,j213.127
1326,10.3078830676146,1.56,j141.104
1326,10.3078830676146,1.56,j145.76
1326,10.3078830676146,1.56,j08.642
1326,10.3078830676146,1.56,j856.172
1326,10.3078830676146,1.56,j133.87
1326,10.3078830676146,1.56,j130.1106
1326,10.3078830676146,1.56,j294.138
1326,10.3078830676146,1.56,j138.566
1326,10.3078830676146,1.56,j143.80
1326,10.3078830676146,1.56,j130.291
1326,10.3078830676146,1.56,j138.814
1326,10.3078830676146,1.56,j130.1108
1326,10.3078830676146,1.56,j137.225
1326,10.3078830676146,1.56,j23.204
1326,10.3078830676146,1.56,j138.565
1326,10.3078830676146,1.56,j137.634
1326,10.3078830676146,1.56,j156.1015
1326,10.3078830676146,1.56,j130.90
1326,10.3078830676146,1.56,j800.214
1326,10.3078830676146,1.56,j128.511
1326,10.3078830676146,1.56,j258.237
1326,10.3078830676146,1.56,j122.303
1326,10.3078830676146,1.56,j190.101
1326,10.3078830676146,1.56,j131.1122
1326,10.3078830676146,1.56,j129.337
1326,10.3078830676146,1.56,j166.478
1326,10.3078830676146,1.56,j258.238
1326,10.3078830676146,1.56,j124.345
1326,10.3078830676146,1.56,j896.118
1326,10.3078830676146,1.56,j154.94
1326,10.3078830676146,1.56,j178.317
1326,10.3078830676146,1.56,j120.533
1326,10.3078830676146,1.56,j185.798
1326,10.3078830676146,1.56,j128.319
1326,10.3078830676146,1.56,j132.125
1326,10.3078830676146,1.56,j127.530
1326,10.3078830676146,1.56,j195.478
1326,10.3078830676146,1.56,j146.466
1326,10.3078830676146,1.56,j48.857
1326,10.3078830676146,1.56,j178.316
